tutor_idx,tutor_id,course_id,course_class_id,course_grade,course_subject,course_day_mon,course_day_tue,course_day_wed,course_day_thu,course_day_fri,course_day_sat,course_day_sun,course_start_time,course_end_time,course_max_num,course_student_ID_list,course_register_avaliable_yn,course_registered_num
6,,71,141,1,25,0,0,0,0,1,0,0,1400,1459,\0,99,1,1
6,,89,147,1,25,0,1,0,0,0,0,0,1900,1959,6,\0,1,0
6,,89,148,2,25,0,0,1,0,0,0,0,2000,2059,6,\0,1,0
6,,89,149,1,25,1,0,0,0,0,0,0,1500,1559,6,\0,1,0
6,,89,150,2,25,1,0,0,0,0,0,0,1600,1659,6,\0,1,0
6,,89,151,3,25,1,0,0,0,0,0,0,1700,1759,6,\0,1,0
146,,90,154,3,26,0,0,0,0,0,0,1,1300,1359,\0,99,1,1
146,,91,153,3,24,0,0,0,1,0,0,0,1300,1359,\0,\0,1,0
6,,92,152,1,24,1,0,0,0,0,0,0,1600,1659,6,"99,140",1,2
47,,94,160,1,24,1,0,0,0,0,0,0,1200,1259,\0,69,1,1
47,,94,161,1,24,1,0,0,0,0,0,0,1400,1459,\0,69,1,1
47,,94,162,1,24,1,0,0,0,0,0,0,1600,1659,\0,\0,1,0
47,,94,163,2,24,0,1,0,0,0,0,0,1200,1259,\0,\0,1,0
47,,94,164,2,24,0,1,0,0,0,0,0,1400,1459,\0,\0,1,0
47,,94,168,1,27,0,1,0,0,0,0,0,1500,1559,\0,69,1,1
47,,98,169,1,24,1,0,0,0,0,0,0,900,959,\0,69,1,1
47,,101,173,1,26,0,1,0,0,0,0,0,1300,1359,\0,69,1,1
46,,101,174,6,26,0,0,0,0,0,1,0,900,959,\0,\0,1,0
47,,102,175,"1,2",25,0,1,0,0,0,0,0,1600,1659,\0,69,1,1
45,,102,176,"1,3",25,1,0,0,0,0,0,0,1200,1259,\0,\0,1,0
142,,105,178,"3,4,5",24,0,1,0,0,0,0,0,1600,1659,\0,"99,101,109,156",1,4
115,,105,204,"3,4",24,0,1,1,0,0,0,0,1100,1159,\0,\0,1,0
47,,106,179,1,26,1,0,0,0,0,0,0,1200,1259,\0,69,1,1
47,,106,180,1,26,0,1,0,0,0,0,0,900,959,\0,\0,1,0
48,,106,181,3,26,0,0,1,0,0,0,0,900,959,\0,\0,1,0
48,,106,182,3,26,0,0,0,1,0,0,0,900,959,\0,\0,1,0
3,,112,188,2,25,0,0,1,0,0,0,0,900,959,\0,99,1,1
3,,113,189,4,24,0,0,1,0,0,0,0,900,959,\0,"99,117",1,2
146,,116,192,4,26,0,0,0,0,0,1,0,900,959,\0,99,1,1
6,,118,193,1,27,1,0,0,0,0,0,0,1900,1959,6,140,1,1
6,,119,194,1,27,0,1,0,0,0,0,0,2000,2059,6,140,1,1
6,,119,195,"4,5,6",27,0,1,0,0,0,0,0,2000,2059,6,\0,1,0
6,,119,196,"4,5",27,0,1,0,0,0,0,0,1800,1859,6,\0,1,0
6,,119,197,6,27,0,0,0,1,0,0,0,1200,1259,6,\0,1,0
3,,124,201,3,26,0,0,0,0,1,0,0,1500,1559,\0,"99,117",1,2
64,,124,241,5,28,0,0,0,0,0,0,1,1300,1359,\0,"24,25,61,99,132,145,170",1,7
47,,125,202,1,24,1,0,0,0,0,0,0,1600,1659,\0,69,1,1
47,,127,205,1,24,1,0,0,0,0,0,0,1400,1459,8,69,1,1
47,,128,206,"1,2,3,4,5,6",24,1,1,1,1,1,1,1,1000,1059,12,42,1,1
47,,128,208,2,24,0,0,0,1,0,0,0,900,959,12,\0,1,0
47,,128,209,1,25,1,0,0,0,0,0,0,1300,1359,\0,\0,1,0
148,,129,210,6,25,0,0,0,0,0,0,1,1900,1959,13,101,1,1
47,,136,217,1,24,0,1,0,0,0,0,0,1800,1859,\0,69,1,1
47,,136,218,1,24,0,0,1,0,0,0,0,900,959,\0,\0,1,0
47,,136,219,2,24,1,0,0,0,0,0,0,1100,1159,\0,\0,1,0
47,,136,220,3,24,1,0,0,0,0,0,0,1400,1459,\0,\0,1,0
47,,136,221,4,24,1,0,0,0,0,0,0,1800,1859,\0,\0,1,0
47,,136,222,6,24,0,0,0,1,0,0,0,2100,2159,\0,\0,1,0
148,,137,223,1,24,0,0,1,0,0,0,0,900,959,15,101,1,1
47,,137,226,6,24,0,0,0,0,0,0,1,900,959,12,\0,1,0
148,,137,227,3,24,0,0,1,0,0,0,0,900,959,1,\0,1,0
47,,138,224,1,25,1,0,0,0,0,0,0,900,959,\0,69,1,1
47,,139,228,6,24,0,0,0,0,0,0,1,900,959,12,\0,1,0
148,,140,229,2,24,1,0,0,0,0,0,0,900,959,1,\0,1,0
47,,141,230,4,24,0,0,1,0,0,0,0,900,959,2,\0,1,0
47,,144,232,1,25,0,0,1,0,0,0,0,900,959,\0,"109,160",1,2
148,,145,233,1,24,0,0,0,0,0,0,1,1600,1659,10,\0,1,0
46,,145,236,1,24,0,0,0,0,0,0,1,1600,1659,5,101,1,1
148,,146,234,6,24,0,0,0,0,0,0,1,900,959,4,99,1,1
47,,147,237,1,27,0,0,0,0,1,0,0,1300,1359,\0,"69,99,156,170",1,4
47,,147,238,2,27,0,0,0,0,0,1,0,1400,1459,\0,\0,1,0
47,,147,239,1,24,0,1,0,0,0,0,0,900,959,\0,"69,101",1,2
47,,148,240,5,25,0,0,0,0,1,0,0,900,959,\0,"69,99",1,2
3,,149,242,1,24,0,0,0,0,1,0,0,900,959,\0,\0,1,0
6,,149,243,2,24,1,0,0,0,0,0,0,1200,1259,\0,\0,1,0
200,,149,253,"1,2,3,4,5,6",24,1,1,1,1,1,1,1,900,959,\0,"198,201,202,203,204",1,5
178,,150,244,"4,5,6",27,1,0,0,0,0,0,0,1300,1359,3,184,1,1
179,,150,245,"5,6",27,0,1,0,0,0,0,0,1500,1559,6,\0,1,0
180,,150,246,"5,6",27,0,0,1,0,0,0,0,1700,1759,6,186,1,1
181,,150,247,"4,5,6",27,0,0,0,1,0,0,0,1600,1659,6,186,1,1
182,,150,248,"3,4,5,6",27,0,0,0,0,1,1,0,900,959,1,185,1,1
178,,150,270,"1,2,3,4,5,6",27,1,1,1,1,1,1,1,1000,1059,6,216,1,1
179,,150,271,"5,6",27,0,0,1,0,0,0,0,1300,1359,6,\0,1,0
180,,150,272,"4,5,6",27,0,0,0,0,1,0,0,1800,1859,6,\0,1,0
181,,150,273,"1,2,3,4,5,6",27,0,1,0,0,0,0,0,1500,1559,6,\0,1,0
182,,150,274,"5,6",27,0,0,0,0,0,1,0,1600,1659,6,\0,1,0
181,,150,304,"1,2,3,4,5,6",27,0,0,1,0,0,0,0,900,959,10,"223,260",1,2
115,,151,249,"4,6",24,0,1,0,0,0,1,0,1100,1159,\0,\0,1,0
115,,151,250,6,25,0,0,0,0,0,0,1,1200,1259,\0,\0,1,0
178,,152,251,5,25,0,0,0,0,0,1,0,900,959,\0,"99,109,258",1,3
179,,152,252,4,25,0,0,0,0,1,0,0,900,959,\0,\0,1,0
3,,152,280,"1,2,3",25,0,1,0,0,0,0,0,1200,1259,1,99,1,1
48,,153,279,5,25,0,0,0,0,1,0,0,1100,1159,\0,\0,1,0
180,,155,262,"1,2,3,4,5,6",28,1,1,1,1,1,1,1,900,959,6,\0,1,0
181,,155,263,"1,2,3,4,5,6",28,1,1,1,1,1,1,1,900,959,6,"215,218,222,223",1,4
182,,155,264,"1,2,3,4,5,6",28,1,1,1,1,1,1,1,900,959,6,\0,1,0
232,,161,306,"1,2,3,4,5,6",26,1,0,0,0,0,0,0,900,959,50,"237,256",1,2
233,,161,307,"1,2,3,4,5,6",26,1,0,0,0,0,0,0,900,959,50,\0,1,0
261,,162,343,"1,2,3,4,5,6",24,1,0,0,0,0,0,0,900,959,100,"258,259",1,2
232,,164,308,"1,2,3,4,5,6",26,1,0,0,0,0,0,0,900,959,10,\0,1,0
233,,164,309,"1,2,3,4,5,6",26,0,0,0,0,0,0,1,900,959,10,237,1,1
232,,165,310,"1,2,3,4,5,6",26,1,0,0,0,0,0,0,900,959,5,238,1,1
233,,166,311,"1,2,3,4,5,6",26,1,0,0,0,0,0,0,900,959,10,238,1,1
232,,167,312,"1,2,3,4,5,6",26,1,0,0,0,0,0,0,900,959,5,236,1,1
232,,168,314,"1,2,3,4,5,6",26,1,0,0,0,0,0,0,900,959,5,"236,238",1,2
243,,169,315,"1,2,3,4,5,6",25,1,0,0,0,0,0,0,900,959,\0,"256,258,259",1,3
244,,172,322,"1,2,3,4,5,6",24,0,0,1,0,0,0,0,1000,1059,5,"256,258,259",1,3
233,,173,325,"1,2,3,4,5,6",24,1,0,0,0,0,0,0,900,959,5,"238,257",1,2
232,,174,326,"1,2,3,4,5,6",25,1,0,0,0,0,0,0,900,959,10,"238,258",1,2
270,,175,327,"1,2,3,4,5,6",25,0,0,1,0,0,0,0,900,959,10,275,1,1
148,,176,328,2,25,0,0,1,0,0,0,0,900,959,\0,160,1,1
243,,177,329,"1,2,3,4,5,6",27,0,0,1,0,0,0,0,1400,1459,10,"256,259",1,2
245,,178,330,"1,2,3,4,5,6",24,0,0,0,1,0,0,0,900,959,5,"256,257,258,259",1,4
246,,179,331,"1,2,3,4,5,6",28,0,0,0,1,0,0,0,900,959,4,\0,1,0
244,,185,344,"1,2,3,4,5,6",27,1,0,0,0,0,0,0,1000,1059,4,\0,1,0
